Genus,Species,Museum,Number,Sex,ENW,IOW,PC,IW,OL,CBL,ICW,WIP4,ZB,P3-P4,P4,PP4,CG,P4G,CW,CL,ZD,FTL,OPD,OCW,MPW,ATL,MD,CPD,APD,cW,cL,MeD,Cm1,RD,TD,WA,SA,TC6,ST1,TL6,TCa1,Sp,SF,IF,H,WH,LH,LDT,DH,PR,A,HD,TC,Cp,U,O,BO,RU,B,DU,DAP,DCP,SP,CA,PQ,R,LR,WR,DR,WDR,LSP,PQR,CRU,McI,WMcI,FMcI,McII,McIII,McV,WMc,P,LI,WI,RI,IQ,WP,WPI,S,Pu,Wac,NAc,G,F,LT,WF,TF,WTF,GL,GM,WLCd,WMCd,HLCd,HMCd,DLCd,DMCd,T,MC,DT,WDT,LMM,Fi,Wfi,PFi,LMFi,N,LTC,SN,QN,FN,Ta,Cta,Dta,Fta,MtII,MtIII,WIII,MtV,WMt,Year,Month,Day,Country,Locality,Zoo
Panthera,leo,NMNH,181568,1,49.54,67.14,60.32,120.46,53.70,291.0,90.02,128.86,215.50,60.62,36.90,14.94,200.10,117.70,19.42,26.72,26.58,156.10,95.36,56.40,118.88,118.84,39.04,78.12,45.64,16.26,25.00,71.06,117.00,115.98,99.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,Abril,18,Kenya,British East Africa: Sotik; Lime Springs,
Felis,silvestris,NMNH,182220,2,11.64,16.58,33.34,38.24,27.56,79.82,20.36,36.88,62.92,16.72,10.10,4.90,51.60,29.92,3.50,3.96,5.04,46.42,24.94,22.18,39.78,30.94,8.56,18.66,11.94,3.18,3.84,12.14,29.66,31.44,30.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,Octubre,27,Kenya,British East Africa [=Kenya],
Felis,silvestris,NMNH,182367,1,13.46,19.36,34.90,40.42,30.10,92.48,22.54,39.86,69.18,17.12,10.54,4.80,59.00,32.26,3.66,4.76,5.60,53.50,28.92,22.88,42.56,36.16,10.08,19.66,12.48,3.40,4.46,16.18,32.46,36.54,32.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,Noviembre,9,Kenya,"Headwaters of Lukosa River, Nandi escarpment, altitude 7000 ft British East Africa [=Kenya]",
Felis,margarita,FMNH,159995,2,,17.14,33.64,38.22,28.32,80.70,18.70,35.28,67.24,16.68,9.66,4.34,51.26,29.04,3.24,4.44,5.24,45.68,23.74,19.76,40.70,29.62,6.82,18.78,9.64,2.68,3.60,12.00,32.72,31.62,31.70,11.80,21.60,10.64,21.32,24.66,5.94,51.34,19.32,25.60,95.64,10.38,13.78,41.78,6.28,60.38,34.32,17.22,11.52,6.10,105.04,12.16,5.54,6.60,15.00,7.22,4.32,5.08,3.18,4.54,3.64,88.54,7.14,5.04,7.64,5.28,3.50,41.79,12.84,10.84,3.78,3.46,26.16,28.74,23.24,13.04,70.58,38.50,14.14,24.64,24.04,21.96,37.26,27.72,18.50,9.28,5.70,23.90,103.20,18.90,7.56,12.68,6.92,15.80,14.80,7.38,6.88,9.84,9.38,16.80,16.34,102.98,35.40,7.70,6.14,5.70,101.88,2.68,8.40,4.24,23.48,15.24,18.36,4.48,6.56,13.58,6.16,5.42,5.96,43.14,47.26,4.04,42.32,14.10,1986,Agosto,4,,,x
Felis,margarita,FMNH,127296,1,11.48,18.86,34.10,42.00,29.12,88.20,21.12,37.34,75.32,16.52,9.68,4.88,57.64,34.82,3.78,5.02,5.82,52.80,24.64,20.82,44.04,33.14,8.48,21.84,13.00,3.34,4.78,13.40,34.42,34.84,34.62,12.76,24.08,12.34,25.18,28.78,7.14,55.64,19.50,29.84,104.08,12.65,14.66,48.04,7.26,64.20,41.28,18.64,13.02,6.40,115.40,14.44,6.22,7.08,18.26,9.04,4.80,5.18,3.72,5.30,4.28,95.80,7.98,5.02,8.76,5.24,4.62,45.14,13.44,11.20,4.04,3.70,26.48,28.80,24.36,14.46,75.74,40.86,16.70,25.70,25.72,23.10,38.64,29.60,20.32,10.26,6.14,24.04,110.72,20.20,8.04,13.04,7.36,17.14,16.96,7.40,7.16,11.66,10.06,17.70,17.32,109.38,38.30,9.34,6.50,5.74,107.24,3.16,9.04,4.76,24.80,17.06,19.14,5.24,8.50,14.36,6.34,5.38,6.30,45.08,48.96,4.42,44.50,14.50,1985,Mayo,7,,,x
Profelis,aurata,FMNH,121528,2,14.46,19.06,34.26,45.84,30.70,113.62,28.72,48.60,81.34,25.64,15.46,6.70,71.96,40.58,5.36,7.72,8.20,68.86,36.32,27.46,49.74,45.32,12.64,24.68,16.68,5.02,6.48,22.62,37.76,41.18,40.60,19.60,38.26,19.26,33.64,35.54,11.60,85.26,29.72,32.94,131.82,19.20,21.40,67.06,11.66,98.48,57.68,27.82,19.02,10.64,142.70,22.24,8.54,10.72,27.26,13.60,6.40,8.16,5.52,9.10,6.06,115.36,9.90,7.48,11.32,7.22,6.94,59.78,18.66,14.96,7.28,6.86,41.42,47.34,37.44,20.80,118.10,62.06,24.44,34.58,44.32,34.24,60.92,44.38,24.70,14.16,8.14,39.98,150.75,26.30,11.98,17.00,9.12,26.00,28.42,10.44,9.12,14.44,14.54,25.30,25.62,146.88,53.20,13.06,10.68,8.22,141.68,4.86,11.74,7.64,38.62,27.90,27.28,7.94,11.66,21.66,9.04,8.28,10.58,58.14,62.72,6.32,55.78,19.72,,,,,,x Africa
Acinonyx,jubatus,AMNH,119657,2,31.50,42.74,52.10,67.58,42.20,158.10,46.40,71.66,124.26,33.90,20.92,9.12,108.34,68.80,8.52,9.94,17.86,91.38,53.38,37.30,64.68,59.16,18.46,43.70,25.10,6.62,8.94,29.64,68.92,80.94,60.04,31.40,46.80,24.28,41.04,57.44,20.80,142.68,46.24,62.14,233.90,31.56,33.40,107.12,20.94,153.45,66.96,40.32,28.46,18.68,275.35,37.76,13.40,19.62,34.10,26.78,9.52,14.92,8.98,9.10,7.12,228.15,16.34,13.34,23.44,13.74,9.24,94.48,33.14,24.80,9.26,8.98,70.10,85.96,67.06,33.96,205.65,104.68,42.18,72.61,77.46,54.82,104.54,78.14,36.32,25.66,15.12,18.30,259.80,38.08,19.12,30.86,15.64,58.68,52.52,18.28,15.92,27.36,24.82,44.00,44.32,257.80,69.9,23.36,18.64,14.80,250.75,7.24,20.44,10.00,72.94,52.08,55.74,15.70,17.40,33.12,12.50,15.60,15.00,97.90,111.38,13.20,94.60,36.54,1940,Junio,4,Mozambique,"Mozambique: Chiringonia, Inchaningo",
Felis,chaus,AMNH,238649,1,16.34,22.52,35.42,42.94,31.04,103.20,29.40,47.56,83.66,20.88,11.98,5.26,70.36,40.80,4.94,6.28,7.24,63.78,32.46,24.16,46.00,41.12,12.78,25.66,14.74,4.30,5.90,19.14,40.56,41.88,37.20,18.14,35.96,19.92,29.78,38.54,11.38,83.28,24.40,32.50,129.24,16.52,18.48,68.10,10.30,90.18,57.06,23.12,16.24,11.02,153.38,19.56,3.50,9.14,22.08,12.30,6.46,6.24,5.06,6.36,5.06,127.78,8.76,6.70,11.36,7.40,5.48,59.38,16.60,16.04,4.90,4.20,41.90,47.42,39.36,18.02,105.44,58.22,23.28,30.80,35.96,28.84,55.96,42.74,21.70,13.04,6.86,36.96,157.30,27.24,10.66,18.38,8.94,21.92,28.70,9.08,8.16,13.32,12.60,28.86,23.20,149.46,42.00,11.38,9.50,6.62,145.70,4.66,12.76,6.16,36.70,26.04,28.88,7.00,10.36,19.74,8.10,7.48,8.88,61.14,67.30,5.70,61.04,18.18,1976,Diciembre,,Pakistan,Pakistan: Senn Desert,
Felis,nigripes,AMNH,214380,0,9.14,14.82,31.12,35.60,24.30,69.92,17.48,31.08,56.88,14.00,9.14,3.94,43.24,24.12,2.80,3.66,5.32,40.06,22.16,18.48,37.16,25.72,6.92,25.84,9.50,2.42,3.48,10.98,24.36,26.80,24.68,,17.34,10.60,15.06,20.30,5.16,,,,75.46,9.26,10.94,32.90,6.06,35.42,27.64,13.04,8.96,5.30,83.24,10.18,4.60,5.58,13.64,6.94,3.60,4.24,3.70,4.70,2.90,71.00,4.90,3.70,6.24,3.70,3.16,37.68,8.72,8.94,3.18,2.24,23.42,25.70,21.00,9.66,58.28,34.18,10.90,20.84,18.24,24.58,36.12,21.92,18.26,7.30,3.30,19.26,83.40,13.96,6.32,10.44,4.24,12.78,12.90,5.16,4.80,7.84,7.10,13.36,13.32,84.44,24.86,6.10,5.24,3.92,82.14,2.38,6.86,3.16,20.24,12.56,16.80,3.78,6.04,11.90,5.04,4.66,5.40,37.54,39.96,3.56,37.06,10.94,,,,South Africa,South Africa: Orange Frea; Bloemfontein (piel agrega Orange Free State; 100 mi NE Bloemfontein),x San Diego Zoological Garden
Profelis,aurata,AMNH,51994,1,17.24,25.54,26.54,53.98,35.04,134.05,32.66,52.04,93.40,26.22,14.38,6.74,86.54,49.98,6.24,8.44,11.68,84.96,38.70,32.70,58.32,49.48,14.96,31.00,19.04,3.56,7.42,22.48,48.92,48.44,45.68,25.00,45.14,23.86,35.80,44.20,13.20,86.92,31.86,40.70,142.46,21.34,24.48,75.86,12.64,101.26,64.50,31.16,21.54,11.24,149.70,23.00,10.32,11.98,25.20,16.60,6.04,9.04,8.42,10.46,8.08,118.46,10.06,7.92,14.06,9.18,7.18,58.78,21.34,17.60,7.88,6.88,43.18,50.52,38.80,24.58,127.90,66.98,25.86,35.40,48.86,38.24,63.24,43.60,25.90,16.18,8.96,45.90,169.50,27.14,13.50,21.32,10.62,34.04,34.08,10.84,10.32,16.94,17.08,29.86,29.10,152.62,55.60,14.00,12.64,8.70,147.00,6.18,13.32,6.18,42.9,28.88,32.20,10.12,13.46,23.74,10.44,9.90,9.96,61.64,68.32,7.34,61.00,23.20,1910,Agosto,24,Zaire,Zaire; Medje Skin: Belgian Congo Medje),
Felis,silvestris,AMNH,89007,0,12.6,19.1,33.4,41.9,31.0,95.4,23.6,40.8,69.7,19.1,11.7,5.4,59.3,33.2,4.5,5.3,5.3,55.2,30.1,24.8,43.1,37.1,9.8,21.4,13.5,4.0,5.3,14.5,33.0,36.4,35.5,15.6,28.8,16.7,22.0,32.7,11.0,69.9,25.4,31.1,121.1,15.7,17.9,58.1,8.6,85.1,49.7,22.0,15.2,8.3,139.3,18.2,6.3,8.5,21.4,10.9,5.2,7.4,5.1,8.2,6.1,117.1,8.0,6.4,9.7,6.6,5.8,57.9,15.1,15.6,4.4,5.3,39.6,44.0,35.0,17.7,92.4,50.3,19.7,27.5,31.8,26.8,48.8,34.6,19.4,12.7,7.2,30.2,139.4,22.1,9.3,17.5,8.2,24.5,25.6,9.1,7.7,14.3,13.7,23.8,23.8,138.4,39.2,10.9,9.4,7.2,133.4,3.4,10.4,4.9,34.9,22.3,27.2,8.4,11.3,19.3,8.9,7.4,9.3,62.5,66.1,5.9,60.8,18.1,1939,Febrero,5,Kenya,Kenia: N Ruwana,
Felis,silvestris,AMNH,83634,0,12.4,20.0,35.7,42.2,30.6,92.5,23.5,39.7,72.1,18.9,11.5,5.0,59.7,34.2,3.8,4.9,5.4,53.6,29.2,24.1,44.2,35.5,9.5,19.5,12.5,3.3,4.3,14.9,34.1,34.6,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,Agosto,8,Botswana,Botswana: Nkate (Piel: Botswana (=Betchuanaland): Nkate),
Panthera,leo,AMNH,54996,2,54.32,66.46,53.60,109.02,52.72,278.25,84.42,122.30,214.85,56.42,34.12,12.66,191.65,108.24,16.50,22.56,28.84,145.02,87.82,54.26,109.58,113.30,38.04,70.46,39.86,14.16,20.58,61.08,105.04,118.90,94.32,54.06,82.16,48.04,58.66,78.44,25.48,200.15,62.28,80.80,294.50,54.14,54.58,141.02,32.96,197.00,139.34,75.74,50.26,31.42,319.5,48.86,26.24,32.06,55.04,42.16,10.16,20.50,17.78,27.06,13.82,256.75,30.32,23.70,39.90,22.90,21.16,143.98,57.50,39.14,17.10,15.28,94.30,103.14,84.36,62.66,279.55,143.10,71.80,87.26,97.42,72.64,154.30,122.48,63.78,40.60,25.82,99.54,333.5,65.32,29.80,42.20,27.88,75.54,71.40,28.86,27.06,41.18,41.26,64.10,69.26,284.00,120.38,38.80,32.02,22.42,269.30,10.80,25.64,14.40,92.94,66.94,71.28,24.62,29.24,53.00,22.02,20.86,19.40,109.20,123.32,15.84,107.94,60.08,,,,India,"India: Gir Forest, Junagadh Station. 200 ft",
Panthera,leo,AMNH,85149,1,50.58,70.16,64.4,127.3,59.16,326.0,93.26,129.48,239.30,63.66,37.86,15.02,225.70,131.14,19.84,28.18,34.90,167.40,87.18,63.20,126.88,129.14,43.16,83.50,54.10,17.48,25.84,71.50,128.84,130.04,102.1,68.64,90.9,55.1,76.58,84.16,26.82,207.15,64.00,104.16,322.5,59.2,72.02,165.55,33.98,246.15,133.94,89.30,57.90,38.40,361.0,57.38,29.00,35.84,61.66,45.96,13.46,23.54,20.50,30.90,18.14,284.60,34.32,27.32,47.16,24.36,22.4,182.85,67.34,45.62,17.26,15.66,100.54,112.90,93.96,69.04,309.0,162.55,70.85,92.28,106.48,73.74,176.30,120.22,62.12,43.32,27.70,107.42,364.0,71.20,31.74,47.74,34.74,80.46,82.94,30.24,30.94,43.96,42.78,71.64,76.88,304.15,143.25,37.28,37.36,26.82,288.30,9.48,26.06,14.00,104.90,78.04,80.9,23.32,30.58,55.70,22.30,21.48,25.24,116.48,130.18,18.00,115.10,60.32,1928,,,Tanzania,Tanganika Terr: Serengeti Plains,
Acinonyx,jubatus,AMNH,100309,1,29.64,39.32,50.30,64.76,46.02,149.85,44.10,67.10,118.90,32.70,19.02,8.60,104.06,67.50,8.04,4.82,15.08,84.66,53.50,34.56,62.70,54.00,18.78,40.14,22.58,6.92,8.54,26.62,66.62,67.40,56.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933,Febrero,7,,,x Zoo India
Caracal,caracal,AMNH,89841,0,21.94,31.46,33.74,61.34,38.06,138.88,37.22,58.32,106.14,28.36,17.24,7.82,92.02,54.98,7.02,8.44,16.50,89.86,40.30,33.00,59.46,50.32,16.68,38.60,23.16,5.86,8.32,23.40,55.00,51.40,48.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939,,,Zimbabwe,Zimbawe,
Caracal,caracal,AMNH,24220,0,17.96,26.36,29.90,58.50,33.60,129.40,33.96,53.18,100.26,26.04,15.90,7.96,86.80,53.22,6.90,8.54,12.80,82.86,40.50,30.20,57.24,46.70,14.88,32.90,22.88,5.60,8.00,22.72,53.04,50.38,46.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,Junio,,South Africa,South Africa,
Felis,silvestris,AMNH,81233,1,12.18,17.68,32.04,39.30,25.58,87.94,23.10,37.90,67.30,16.58,9.98,4.92,55.08,32.12,4.42,5.24,6.94,51.58,26.30,21.92,41.70,33.18,9.94,21.00,14.08,3.78,4.88,13.18,31.72,32.28,32.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,Julio,1,Ethiopia,Ethiopia,
Felis,silvestris,AMNH,80893,0,11.00,16.36,36.84,39.56,26.50,80.32,20.84,39.76,64.12,17.88,11.02,5.32,50.82,27.96,3.80,4.18,6.64,50.42,26.96,22.98,40.74,32.08,8.58,18.40,11.48,3.24,4.46,13.28,28.16,31.54,29.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,Mayo,4,South Africa,South Africa; George; Zebra,
Leptailurus ,serval,NMNH,548666,2,15.06,23.64,34.78,46.00,29.44,100.66,26.96,47.36,79.88,22.30,13.16,6.38,71.04,40.48,4.66,6.28,8.82,55.00,34.20,27.32,47.00,41.86,11.46,22.18,13.78,4.46,5.96,19.52,41.34,40.80,36.80,21.60,40.16,22.38,33.14,40.32,10.74,93.26,27.60,34.36,154.20,16.20,20.32,75.88,10.44,109.38,74.60,28.36,18.40,10.80,180.55,21.18,9.56,10.9,28.96,14.62,7.26,8.92,6.04,8.1,5.2,154.35,9.88,8.18,14.36,8.78,7.78,74.44,19.62,18.42,7.42,7.00,55.92,64.10,52.02,21.30,122.64,66.32,23.68,34.76,43.48,37.36,61.58,47.26,24.86,16.06,9.54,40.80,179.50,30.54,11.74,19.84,10.94,26.92,28.52,11.28,10.06,16.34,15.90,27.52,27.08,180.65,60.90,11.82,12.8,8.32,176.5,4.16,13.06,6.88,43.64,28.62,30.92,8.40,10.70,25.66,12.54,9.80,11.44,77.04,82.8,6.32,76.02,19.40,,,,,,x San Diego Zoo
