Genus,Species,Museum,Number,Sex,ENW,IOW,PC,IW,OL,CBL,ICW,WIP4,ZB,P3-P4,P4,PP4,CG,P4G,CW,CL,ZD,FTL,OPD,OCW,MPW,ATL,MD,CPD,APD,cW,cL,MeD,Cm1,RD,TD,WA,SA,TC6,ST1,TL6,TCa1,Sp,SF,IF,H,WH,LH,LDT,DH,PR,A,HD,TC,Cp,U,O,BO,RU,B,DU,DAP,DCP,SP,CA,PQ,R,LR,WR,DR,WDR,LSP,PQR,CRU,McI,WMcI,FMcI,McII,McIII,McV,WMc,P,LI,WI,RI,IQ,WP,WPI,S,Pu,Wac,NAc,G,F,LT,WF,TF,WTF,GL,GM,WLCd,WMCd,HLCd,HMCd,DLCd,DMCd,T,MC,DT,WDT,LMM,Fi,Wfi,PFi,LMFi,N,LTC,SN,QN,FN,Ta,Cta,Dta,Fta,MtII,MtIII,WIII,MtV,WMt,Year,Month,Day,Country,Locality,Zoo
Felis,nigripes,NMNH,381275,2,9.76,15.16,28.88,35.54,24.66,71.68,18.44,31.64,58.16,14.52,9.42,4.16,44.12,24.24,3.06,4.14,5.90,42.36,22.50,19.62,35.86,27.24,7.30,24.84,10.68,2.78,3.60,10.56,25.00,27.64,26.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,Agosto,18,South Africa,"South Africa: Gannavloer, 11 Mi E of Vanwyksvlei",
Felis,silvestris,NMNH,327090,2,11.36,18.28,34.18,41.30,28.86,87.54,21.82,38.68,68.60,12.22,10.64,5.10,56.34,32.32,3.62,4.44,4.08,52.26,27.56,21.62,42.06,33.04,9.66,19.64,13.08,3.38,4.24,14.36,33.14,32.50,31.90,14.14,25.98,13.36,24.02,30.98,10.70,62.24,21.00,29.84,109.22,12.84,15.94,53.44,8.58,70.90,33.86,19.02,13.24,8.30,123.42,15.94,6.00,7.98,18.30,10.10,5.34,5.50,4.36,6.38,4.10,102.86,7.46,5.52,9.02,4.80,4.74,44.58,12.80,,,,,,,,86.88,48.20,16.58,24.68,28.78,25.88,25.68,31.72,21.26,10.90,6.88,29.66,124.46,21.46,9.08,14.46,6.38,18.84,19.00,7.22,7.70,11.98,11.04,20.16,18.94,125.84,37.87,10.04,7.76,6.56,122.74,3.10,10.02,4.40,30.16,20.24,23.84,6.14,8.28,16.46,7.68,5.80,9.34,52.48,55.90,5.28,50.54,15.70,1962,Noviembre,10,Iran,"Iran: Khorasan, Isfedeh, 12 km SE",
Felis,silvestris,NMNH,296136,1,14.10,19.32,31.82,41.18,29.78,94.20,25.72,45.54,74.90,19.36,11.58,5.26,60.00,33.32,4.56,5.86,6.08,54.80,28.58,24.34,43.52,36.28,10.20,20.82,13.90,4.24,5.10,13.70,34.28,35.38,34.86,17.36,30.98,15.16,25.94,35.44,10.00,72.32,26.02,31.08,120.90,16.46,17.66,60.96,9.04,78.38,31.20,20.60,14.30,8.64,138.36,15.66,7.60,8.86,25.60,10.78,3.56,5.58,5.14,7.16,5.50,117.26,8.20,6.16,9.74,6.50,5.22,49.98,13.10,13.48,4.24,5.20,37.34,42.72,34.80,15.40,89.16,51.70,18.42,29.92,29.96,28.46,44.58,33.20,19.22,11.30,5.60,31.30,137.44,21.98,9.32,15.56,8.46,22.18,26.04,8.04,8.06,12.60,12.16,21.86,21.26,137.14,43.04,9.92,9.80,7.32,134.20,3.34,10.50,5.28,32.28,22.44,23.46,6.30,9.44,18.62,8.52,7.10,8.36,59.88,64.44,5.84,58.46,15.60,1952,Julio,21,Namibia,"Namibia: Ochinene, 100 Mi N Eiseb Omuramba 204--S 0200000E",
Profelis,aurata,NMNH,278523,1,19.54,26.04,33.76,55.34,33.32,138.76,33.82,53.24,97.48,25.64,15.24,6.68,90.86,54.08,6.14,7.88,12.02,93.20,45.20,31.64,58.74,49.72,17.20,35.48,22.60,5.66,7.42,28.46,53.40,52.06,50.96,,,,,,,102.51,33.26,41.40,154.00,21.08,24.18,81.64,14.68,109.56,77.52,31.86,22.04,11.90,163.50,25.12,10.56,12.24,27.56,16.84,6.64,9.28,6.94,11.18,7.84,130.80,11.22,9.00,13.38,9.04,7.42,52.60,21.24,16.96,9.09,7.12,45.90,51.48,41.94,25.64,,,,,,,,,,,,,180.25,30.98,14.16,23.44,10.02,31.32,31.18,11.62,11.80,18.14,16.94,30.20,28.80,172.30,62.34,13.90,10.86,10.78,168.45,6.20,14.36,7.78,41.58,28.84,36.00,8.14,11.72,23.58,9.08,8.90,11.26,65.78,70.50,7.50,64.32,23.16,1945,Septiembre,30,,,x
Panthera,leo,NMNH,163329,2,47.54,64.14,60.16,109.26,49.42,272.05,77.88,111.24,192.90,56.72,33.34,13.52,186.20,103.26,15.68,22.46,25.60,139.06,87.16,59.36,110.06,114.68,36.86,67.30,40.26,14.26,21.84,64.42,98.66,110.76,83.90,51.92,71.10,47.60,72.80,78.98,24.64,,,,294.25,47.36,56.88,145.10,33.90,182.25,104.94,75.38,51.10,31.92,317.0,49.00,22.04,30.84,49.14,42.72,11.98,21.92,17.58,26.20,16.88,253.05,29.32,22.18,35.96,19.24,17.04,147.98,53.98,,,,,,,,278.40,148.88,70.00,82.40,94.76,64.16,147.68,106.30,61.10,37.58,22.32,96.36,325.5,60.64,28.66,40.64,29.90,69.36,65.08,23.90,25.92,38.76,38.14,64.92,68.92,272.30,121.84,36.46,28.50,22.62,269.60,12.74,25.16,14.92,,,,,,,,,,,,,,,1909,Agosto,19,Kenya,Kenya: Laikipia,
Panthera,leo,NMNH,162913,1,50.28,73.46,72.30,136.40,58.00,330.0,94.80,133.16,250.95,61.28,36.50,14.60,229.60,135.74,20.04,26.90,33.56,172.60,79.80,66.18,127.10,131.76,48.68,84.66,50.08,17.46,24.46,70.28,132.30,130.40,108.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909,Junio,12,Kenya,"Kenya: Sotik, Guaso Nyiro, South",
Panthera,pardus,NMNH,254536,1,32.20,43.04,44.64,92.44,43.92,,57.22,83.50,146.76,40.70,23.98,10.06,129.06,74.24,11.92,14.34,21.10,128.78,,43.50,89.24,79.00,28.44,51.44,31.94,10.24,14.86,44.76,72.16,81.98,,39.64,54.64,36.02,56.98,55.56,26.32,140.10,48.02,67.96,223.40,36.38,40.40,134.36,24.80,164.75,98.64,54.06,35.42,21.84,233.00,41.00,18.14,21.10,42.36,29.66,9.04,13.22,12.46,18.80,11.92,175.25,20.96,14.30,24.28,14.00,13.08,103.24,38.54,27.10,10.32,9.10,61.78,71.52,54.70,42.04,210.85,110.94,45.40,77.38,58.92,53.90,118.94,71.68,40.68,27.00,14.46,74.54,249.80,44.80,20.70,28.30,19.22,49.10,49.16,17.22,17.92,26.88,26.96,45.58,46.56,220.90,93.36,23.64,18.78,13.24,215.40,9.98,19.42,11.74,62.12,46.38,47.62,15.34,20.08,36.00,15.54,13.04,19.06,78.26,88.78,11.46,75.92,41.30,1929,Marzo,10,China,China: Sichuan Tseo-Jia-Keo South of Suifu 500 ft,
Panthera,pardus,NMNH,156284,1,31.50,39.70,35.44,82.28,42.30,190.95,56.34,78.54,141.00,40.28,23.68,9.88,126.16,71.62,12.94,16.20,19.64,119.48,63.04,40.04,78.46,76.30,24.68,48.04,32.56,11.08,14.92,42.82,70.50,74.36,68.36,38.34,60.72,37.38,53.18,56.96,20.94,132.92,47.48,60.84,209.70,33.56,36.38,111.42,20.88,124.56,102.78,49.66,32.62,22.46,218.75,35.40,17.92,20.18,36.60,27.54,9.64,14.00,11.14,17.56,10.00,170.35,19.10,13.72,25.22,14.66,14.14,99.64,36.94,24.82,10.66,10.30,56.32,65.44,50.40,35.00,196.35,105.98,39.00,57.58,66.30,59.50,95.88,61.38,39.96,26.68,13.58,61.84,237.10,42.18,19.00,28.60,17.40,40.18,39.96,15.90,16.90,26.80,26.36,43.46,44.12,209.80,91.04,24.90,19.50,14.32,203.85,9.96,17.92,10.50,56.98,41.62,45.70,17.40,21.22,35.94,15.54,9.34,14.98,73.34,82.06,10.58,69.49,36.76,1909,Octubre,18,Indonesia,Indonesia: Java. Pelaboean Ratoe,
Panthera,pardus,NMNH,161911,2,22.70,31.38,39.34,66.44,39.74,168.65,44.68,69.12,114.26,35.92,21.04,9.14,107.56,58.44,9.24,12.38,14.76,98.44,53.46,39.62,68.78,69.30,21.72,42.44,24.08,8.48,11.80,35.24,58.04,63.88,56.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909,Abril,11,Kenya,Kenya: Juja Farm,
Leptailurus ,serval,NMNH,61754,2,15.68,23.24,34.36,46.68,28.56,109.80,28.54,48.32,82.86,24.60,14.64,7.08,71.02,39.70,5.58,6.86,9.06,70.56,33.78,27.32,46.84,42.12,12.20,40.48,14.10,4.92,6.74,17.40,41.16,40.20,40.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozambique,"Mozambique: Manica and Sofala. Beira, near.",
Leptailurus ,serval,NMNH,21645/A36874,1,14.46,22.16,32.34,47.32,29.98,114.30,28.04,46.52,76.18,23.98,14.02,7.06,73.56,40.52,5.40,7.08,10.16,69.36,35.14,28.40,38.76,49.38,40.98,26.76,16.40,4.90,6.58,19.60,40.90,41.60,40.08,,,,,,,90.22,28.58,39.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1891,Septiembre,12,Zimbabwe,"Zimbabwe: Concession Hill, near. Ver obs.",
Leptailurus ,serval,NMNH,258240,1,18.26,25.72,29.74,51.50,32.94,123.24,35.28,53.44,95.16,22.86,12.98,6.30,80.40,44.52,5.76,7.42,16.98,76.58,36.84,29.96,53.54,45.50,15.82,28.34,18.12,5.24,6.44,20.08,47.54,47.06,42.86,26.26,50.72,27.34,36.58,47.86,12.70,108.26,31.72,40.98,176.35,22.88,25.04,85.04,12.24,107.77,82.66,31.28,21.20,11.84,199.00,25.16,11.06,10.26,26.30,15.92,7.94,9.32,9.12,10.18,6.50,165.25,10.40,8.58,14.00,9.56,7.50,72.76,21.14,20.50,7.32,7.50,52.28,63.94,52.78,22.68,136.55,74.64,27.82,37.70,46.52,39.16,64.84,49.20,28.70,17.54,11.04,47.56,205.20,34.38,12.90,24.10,10.30,37.06,36.04,11.78,10.56,18.10,17.30,32.10,31.04,203.70,74.40,15.78,11.30,9.06,198.45,4.16,14.02,7.62,46.94,33.46,37.58,8.58,16.26,28.04,12.06,11.36,11.40,75.80,85.36,7.16,80.42,22.06,1933,Julio,10,Kenya,Africa: Kenya. Dar-es-Salaam,x
Felis,nigripes,NMNH,395135,1,15.32,15.40,28.94,36.76,26.26,76.38,19.20,33.18,61.10,16.10,10.24,4.46,47.38,26.28,3.48,4.86,5.28,43.82,23.40,20.10,38.38,28.88,8.50,17.80,11.34,2.88,4.24,12.20,26.56,27.44,31.38,11.72,20.96,12.64,16.60,22.60,6.16,47.28,17.26,18.66,83.64,10.40,11.92,36.12,6.42,37.78,24.50,14.36,10.04,5.46,90.04,11.38,5.20,6.00,14.08,7.66,3.00,3.28,3.88,4.90,3.56,75.52,5.42,4.10,6.76,4.12,2.86,34.32,9.78,9.92,3.38,2.86,24.62,27.60,22.14,10.54,62.70,36.38,12.32,19.70,20.20,20.92,36.84,20.14,17.20,8.14,4.68,20.78,90.38,15.18,6.44,11.04,4.96,14.42,14.52,5.36,5.14,8.16,7.88,14.94,14.36,90.68,26.36,6.70,5.50,4.60,88.08,2.32,7.50,3.38,22.34,13.86,15.30,3.90,6.28,13.04,5.10,4.62,5.48,40.22,43.06,3.62,40.14,11.38,1968,Enero,11,,,x
Acinonyx,jubatus,NMNH,182321,1,29.08,38.68,53.20,58.04,43.24,162.00,45.62,68.38,122.30,34.70,21.52,9.00,111.08,72.02,8.60,11.24,14.46,92.10,54.12,36.94,62.48,59.00,18.64,45.04,26.14,7.16,9.32,26.44,70.86,75.58,58.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,Octubre,13,Kenya,British East Africa: Kapiti Station,
Acinonyx,jubatus,NMNH,163096,1,28.92,39.74,58.36,74.58,46.96,162.55,48.68,74.38,136.05,35.66,27.10,9.16,111.76,71.30,9.40,11.30,17.44,90.64,54.94,38.12,67.08,59.40,19.74,47.52,28.96,7.38,10.00,29.38,73.50,55.48,61.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909,Diciembre,6,Kenya,"British East Africa: Sotik, Guaso Nyiro",
Leptailurus ,serval,NMNH,163092,2,15.04,22.66,34.74,44.76,28.86,108.50,26.28,44.60,77.46,20.72,12.40,5.72,70.20,42.30,4.44,5.54,7.86,67.56,32.40,28.32,46.44,39.00,11.24,23.88,14.76,4.06,5.34,15.06,41.68,39.74,38.94,,,,,,,,,,155.70,16.86,21.26,71.42,10.94,111.41,44.86,26.18,16.82,10.60,177.45,21.20,8.66,10.62,24.66,13.62,7.68,7.88,7.18,9.72,5.90,152.05,8.66,7.62,12.72,8.46,6.70,77.28,18.38,,,,,,,,,,,,,,,,,,,,175.50,29.04,11.50,18.68,8.66,25.48,33.44,9.94,8.88,14.72,14.52,25.48,25.16,177.45,48.88,13.04,10.22,8.24,174.00,4.08,11.98,6.30,41.16,26.16,31.24,9.32,11.62,24.00,10.92,9.22,9.58,,,,,,1909,Agosto,14,Kenya,"Kenya: Meru road, Leikipia",
Felis,chaus,NMNH,398570,2,16.14,19.80,35.16,44.26,32.78,111.16,27.06,51.74,80.90,,,,73.66,40.16,,,7.14,64.30,31.68,25.72,47.10,44.70,,25.26,14.62,4.46,5.92,19.70,40.66,39.40,38.42,19.36,34.28,19.62,28.64,39.02,8.58,79.18,24.70,32.56,130.56,16.88,19.24,59.46,9.30,106.16,56.94,23.98,16.98,15.16,146.46,18.56,7.50,9.10,26.36,11.74,6.40,6.94,6.10,6.84,5.60,121.82,8.80,6.86,10.98,7.96,6.14,54.32,15.14,14.89,5.40,4.06,40.10,45.92,36.64,17.86,97.46,53.24,18.54,33.98,29.04,27.60,51.30,40.90,23.00,13.66,7.86,32.64,144.40,27.24,9.42,21.44,9.24,23.14,22.44,9.18,9.38,13.34,13.58,23.92,22.80,147.48,44.70,11.72,9.26,6.42,141.74,4.64,12.32,5.74,36.08,24.78,27.08,6.60,10.34,21.24,9.94,9.00,9.58,62.00,66.08,5.54,60.92,18.48,1975,Noviembre,1,,,x
Panthera,pardus,NMNH,164764,1,31.58,37.24,38.18,80.14,47.04,223.65,57.54,84.52,150.70,42.42,23.86,15.38,146.65,83.64,12.20,15.54,18.84,129.84,62.10,43.94,87.10,87.72,25.52,59.22,31.94,11.28,15.58,46.90,84.40,83.20,62.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,Febrero,26,Uganda,Uganda: Gondokoro,
Panthera,pardus,NMNH,181600,1,34.84,42.94,36.50,88.94,49.70,234.15,61.56,82.98,157.85,45.10,25.30,10.00,156.70,90.64,14.00,17.74,23.20,143.24,70.28,47.54,94.94,91.06,29.24,57.86,37.90,11.86,16.68,50.54,88.54,87.38,71.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,Marzo,28,Kenya,British East Africa: Aggate«s farm,
